pid,order,file_name,label,location,_date,month_str,year,type,notes,teams,game_info,player_info,inventoried
Alma_Record_September_16_1920,0,Alma_Record_September_16_1920.jpg,Alma Record,"Alma, Michigan, US",16/09/1920,September,1920,JPG,,,,,n
Alma_Record_September_16_1920,1,Alma_Record_September_16_1920.jpg,Alma Record,"Alma, Michigan, US",16/09/1920,September,1920,JPG,,,,,n
Battle_Creek_Enquirer_June_17_1928,2,Battle_Creek_Enquirer_June_17_1928.jpg,Battle Creek Enquirer,"Battle Creek, Michigan, US",17/06/1928,June,1928,JPG,,"Studebakers, and Fox Colored Giants",u,u,y
Battle_Creek_Enquirer_June_18_1928,3,Battle_Creek_Enquirer_June_18_1928.jpg,Battle Creek Enquirer,"Battle Creek, Michigan, US",18/06/1928,June,1928,JPG,,"Kelloggs, and Studebakers",n,y,y
Battle_Creek_Enquirer_June_18_1928,4,Battle_Creek_Enquirer_June_18_1928.jpg,Battle Creek Enquirer,"Battle Creek, Michigan, US",18/06/1928,June,1928,JPG,,"Kelloggs, and Studebakers",n,y,y
Calumet_News_April_16_1913,5,Calumet_News_April_16_1913.jpg,Calumet News,"Calumet, Michigan, US",16/04/1913,April,1913,JPG,,"""St. Joseph Team"", ""Athletics"", ""South Bend Team"", ""White Sox"", ""Grand Rapids Franchise""",n,n,y
Daily_Monitor_April_01_1941,6,Daily_Monitor_April_01_1941.jpg,Daily Monitor,"Mount Clemens, Michigan, US",01/04/1941,April,1941,JPG,,,,,n
Daily_Monitor_April_01_1941,7,Daily_Monitor_April_01_1941.jpg,Daily Monitor,"Mount Clemens, Michigan, US",01/04/1941,April,1941,JPG,,,,,n
Daily_Monitor_April_01_1941,8,Daily_Monitor_April_01_1941.jpg,Daily Monitor,"Mount Clemens, Michigan, US",01/04/1941,April,1941,JPG,,,,,n
Daily_Monitor_April_01_1941,9,Daily_Monitor_April_01_1941.jpg,Daily Monitor,"Mount Clemens, Michigan, US",01/04/1941,April,1941,JPG,,,,,n
Daily_Monitor_February_04_1941,10,Daily_Monitor_February_04_1941.jpg,Daily Monitor,"Mount Clemens, Michigan, US",04/02/1941,February,1941,JPG,,,,,n
Daily_Monitor_February_04_1941,11,Daily_Monitor_February_04_1941.jpg,Daily Monitor,"Mount Clemens, Michigan, US",04/02/1941,February,1941,JPG,,,,,n
Daily_Monitor_February_12_1941,12,Daily_Monitor_February_12_1941.jpg,Daily Monitor,"Mount Clemens, Michigan, US",12/02/1941,February,1941,JPG,,,,,n
Daily_Monitor_February_12_1941,13,Daily_Monitor_February_12_1941.jpg,Daily Monitor,"Mount Clemens, Michigan, US",12/02/1941,February,1941,JPG,,,,,n
Daily_Monitor_February_18_1941,14,Daily_Monitor_February_18_1941.jpg,Daily Monitor,"Mount Clemens, Michigan, US",18/02/1941,February,1941,JPG,,,,,n
Daily_Monitor_February_18_1941,15,Daily_Monitor_February_18_1941.jpg,Daily Monitor,"Mount Clemens, Michigan, US",18/02/1941,February,1941,JPG,,,,,n
Daily_Monitor_January_21_1941,16,Daily_Monitor_January_21_1941.jpg,Daily Monitor,"Mount Clemens, Michigan, US",21/01/1941,January,1941,JPG,,,,,n
Daily_Monitor_January_21_1941,17,Daily_Monitor_January_21_1941.jpg,Daily Monitor,"Mount Clemens, Michigan, US",21/01/1941,January,1941,JPG,,,,,n
Daily_Monitor_March_04_1941,18,Daily_Monitor_March_04_1941.jpg,Daily Monitor,"Mount Clemens, Michigan, US",04/03/1941,March,1941,JPG,,,,,n
Daily_Monitor_March_04_1941,19,Daily_Monitor_March_04_1941.jpg,Daily Monitor,"Mount Clemens, Michigan, US",04/03/1941,March,1941,JPG,,,,,n
Detroit_Times_June_15_1915,20,Detroit_Times_June_15_1915.jpg,Detroit Times,"Detroit, Michigan, US",15/06/1915,June,1915,JPG,,"""Studebaker Team from Detroit"" and ""Studebaker Team from South Bend""",n,n,y
Detroit_Times_June_15_1915,21,Detroit_Times_June_15_1915.jpg,Detroit Times,"Detroit, Michigan, US",15/06/1915,June,1915,JPG,,,,,n
Detroit_Times_June_15_1915,22,Detroit_Times_June_15_1915.jpg,Detroit Times,"Detroit, Michigan, US",15/06/1915,June,1915,JPG,,,,,n
Herald_Press_October_22_1926,23,Herald_Press_October_22_1926.jpg,Herald Press,"St. Joseph, Michigan, US",22/10/1926,October,1926,JPG,,"Studebaker's Colored Giants, House of David's baseball team",n,y,y
Indianapolis_Times_April_20_1934,24,Indianapolis_Times_April_20_1934.jpg,Indianapolis Times,"Indianapolis, Indiana, US",20/04/1934,April,1934,JPG,,,,,n
Indianapolis_Times_April_20_1934,25,Indianapolis_Times_April_20_1934.jpg,Indianapolis Times,"Indianapolis, Indiana, US",20/04/1934,April,1934,JPG,,,,,n
Indianapolis_Times_February_20_1934,26,Indianapolis_Times_February_20_1934.jpg,Indianapolis Times,"Indianapolis, Indiana, US",20/02/1934,February,1934,JPG,,,,,n
Indianapolis_Times_February_20_1934,27,Indianapolis_Times_February_20_1934.jpg,Indianapolis Times,"Indianapolis, Indiana, US",20/02/1934,February,1934,JPG,,,,,n
Indianapolis_Times_January_19_1934,28,Indianapolis_Times_January_19_1934.jpg,Indianapolis Times,"Indianapolis, Indiana, US",19/01/1934,January,1934,JPG,,,,,n
Indianapolis_Times_January_19_1934,29,Indianapolis_Times_January_19_1934.jpg,Indianapolis Times,"Indianapolis, Indiana, US",19/01/1934,January,1934,JPG,,,,,n
Indianapolis_Times_March_09_1934,30,Indianapolis_Times_March_09_1934.jpg,Indianapolis Times,"Indianapolis, Indiana, US",09/03/1934,March,1934,JPG,,,,,n
Indianapolis_Times_March_09_1934,31,Indianapolis_Times_March_09_1934.jpg,Indianapolis Times,"Indianapolis, Indiana, US",09/03/1934,March,1934,JPG,,,,,n
Indianapolis_Times_May_11_1932,32,Indianapolis_Times_May_11_1932.jpg,Indianapolis Times,"Indianapolis, Indiana, US",11/05/1932,May,1932,JPG,,,,,n
Indianapolis_Times_May_11_1932,33,Indianapolis_Times_May_11_1932.jpg,Indianapolis Times,"Indianapolis, Indiana, US",11/05/1932,May,1932,JPG,,,,,n
Indianapolis_Times_November_08_1930,34,Indianapolis_Times_November_08_1930.jpg,Indianapolis Times,"Indianapolis, Indiana, US",08/11/1930,November,1930,JPG,,,,,n
Indianapolis_Times_November_08_1930,35,Indianapolis_Times_November_08_1930.jpg,Indianapolis Times,"Indianapolis, Indiana, US",08/11/1930,November,1930,JPG,,,,,n
Indianapolis_Times_September_12_1929,36,Indianapolis_Times_September_12_1929.jpg,Indianapolis Times,"Indianapolis, Indiana, US",12/09/1929,September,1929,JPG,,,,,n
Indianapolis_Times_September_12_1929,37,Indianapolis_Times_September_12_1929.jpg,Indianapolis Times,"Indianapolis, Indiana, US",12/09/1929,September,1929,JPG,,,,,n
Indianapolis_Times_September_27_1928,38,Indianapolis_Times_September_27_1928.jpg,Indianapolis Times,"Indianapolis, Indiana, US",27/09/1928,September,1928,JPG,,"Philedelphia A's, Studebaker team",y,n,y
Indianapolis_Times_September_27_1928,39,Indianapolis_Times_September_27_1928.jpg,Indianapolis Times,"Indianapolis, Indiana, US",27/09/1928,September,1928,JPG,,,,,n
Indianapolis_Times_September_27_1928,40,Indianapolis_Times_September_27_1928.jpg,Indianapolis Times,"Indianapolis, Indiana, US",27/09/1928,September,1928,JPG,,,,,n
Michigan_Chronicle_March_13_1943,41,Michigan_Chronicle_March_13_1943.jpg,Michigan Chronicle,"Detroit, Michigan, US",13/03/1943,March,1943,JPG,,,,,n
Michigan_Chronicle_March_13_1943,42,Michigan_Chronicle_March_13_1943.jpg,Michigan Chronicle,"Detroit, Michigan, US",13/03/1943,March,1943,JPG,,,,,n
Richmond_Palladium_Sun_Telegram_February_06_1922,43,Richmond_Palladium_Sun_Telegram_February_06_1922.jpg,Richmond Palladium and Sun Telegram,"Richmond, Indiana, US",06/02/1922,February,1922,JPG,,,,,n
Richmond_Palladium_Sun_Telegram_February_08_1922,44,Richmond_Palladium_Sun_Telegram_February_08_1922.jpg,Richmond Palladium and Sun Telegram,"Richmond, Indiana, US",08/02/1922,February,1922,JPG,,,,,n
Richmond_Palladium_Sun_Telegram_February_09_1922,45,Richmond_Palladium_Sun_Telegram_February_09_1922.jpg,Richmond Palladium and Sun Telegram,"Richmond, Indiana, US",09/02/1922,February,1922,JPG,,,,,n
Richmond_Palladium_Sun_Telegram_January_31_1922,46,Richmond_Palladium_Sun_Telegram_January_31_1922.jpg,Richmond Palladium and Sun Telegram,"Richmond, Indiana, US",31/01/1922,January,1922,JPG,,,,,n
SB_New_Times_July_22_1938,47,SB_New_Times_July_22_1938.jpg,South Bend News Times,"South Bend, Indiana, US",22/07/1938,July,1938,JPG,,,,,n
SB_New_Times_September_20_1916,48,SB_New_Times_September_20_1916.jpg,South Bend News Times,"South Bend, Indiana, US",20/09/1916,September,1916,JPG,,,,,n
SB_New_Times_September_20_1916,49,SB_New_Times_September_20_1916.jpg,South Bend News Times,"South Bend, Indiana, US",20/09/1916,September,1916,JPG,,,,,n
SB_News_Times_April_13_1914,50,SB_News_Times_April_13_1914.jpg,South Bend News Times,"South Bend, Indiana, US",13/04/1914,April,1914,JPG,,,,,n
SB_News_Times_April_13_1914,51,SB_News_Times_April_13_1914.jpg,South Bend News Times,"South Bend, Indiana, US",13/04/1914,April,1914,JPG,,,,,n
SB_News_Times_April_14_1919,52,SB_News_Times_April_14_1919.jpg,South Bend News Times,"South Bend, Indiana, US",14/04/1919,April,1919,JPG,,,,,n
SB_News_Times_April_14_1919,53,SB_News_Times_April_14_1919.jpg,South Bend News Times,"South Bend, Indiana, US",14/04/1919,April,1919,JPG,,,,,n
SB_News_Times_April_26_1917,54,SB_News_Times_April_26_1917.jpg,South Bend News Times,"South Bend, Indiana, US",26/04/1917,April,1917,JPG,,,,,n
SB_News_Times_April_26_1917,55,SB_News_Times_April_26_1917.jpg,South Bend News Times,"South Bend, Indiana, US",26/04/1917,April,1917,JPG,,,,,n
SB_News_Times_April_3_1917,56,SB_News_Times_April_3_1917.jpg,South Bend News Times,"South Bend, Indiana, US",03/04/1917,April,1917,JPG,,,,,n
SB_News_Times_April_3_1917,57,SB_News_Times_April_3_1917.jpg,South Bend News Times,"South Bend, Indiana, US",03/04/1917,April,1917,JPG,,,,,n
SB_News_Times_April_30_1926,58,SB_News_Times_April_30_1926.jpg,South Bend News Times,"South Bend, Indiana, US",30/04/1926,April,1926,JPG,,,,,n
SB_News_Times_August_01_1920,59,SB_News_Times_August_01_1920.jpg,South Bend News Times,"South Bend, Indiana, US",01/08/1920,August,1920,JPG,,,,,n
SB_News_Times_August_03_1916,60,SB_News_Times_August_03_1916.jpg,South Bend News Times,"South Bend, Indiana, US",03/08/1916,August,1916,JPG,,,,,n
SB_News_Times_August_09_1913,61,SB_News_Times_August_09_1913.jpg,South Bend News Times,"South Bend, Indiana, US",09/08/1913,August,1913,JPG,,,,,n
SB_News_Times_August_1_1920,62,SB_News_Times_August_1_1920.jpg,South Bend News Times,"South Bend, Indiana, US",01/08/1920,August,1920,JPG,,,,,n
SB_News_Times_August_10_1921,63,SB_News_Times_August_10_1921.jpg,South Bend News Times,"South Bend, Indiana, US",10/08/1921,August,1921,JPG,,,,,n
SB_News_Times_August_13_1922,64,SB_News_Times_August_13_1922.jpg,South Bend News Times,"South Bend, Indiana, US",13/08/1922,August,1922,JPG,,,,,n
SB_News_Times_August_19_1920,65,SB_News_Times_August_19_1920.jpg,South Bend News Times,"South Bend, Indiana, US",19/08/1920,August,1920,JPG,,,,,n
SB_News_Times_August_20_1922,66,SB_News_Times_August_20_1922.jpg,South Bend News Times,"South Bend, Indiana, US",20/08/1922,August,1922,JPG,,,,,n
SB_News_Times_August_24_1922,67,SB_News_Times_August_24_1922.jpg,South Bend News Times,"South Bend, Indiana, US",24/08/1922,August,1922,JPG,,,,,n
SB_News_Times_August_28_1914,68,SB_News_Times_August_28_1914.jpg,South Bend News Times,"South Bend, Indiana, US",28/08/1914,August,1914,JPG,,,,,n
SB_News_Times_August_30_1916,69,SB_News_Times_August_30_1916.jpg,South Bend News Times,"South Bend, Indiana, US",30/08/1916,August,1916,JPG,,,,,n
SB_News_Times_August_31_1919,70,SB_News_Times_August_31_1919.jpg,South Bend News Times,"South Bend, Indiana, US",31/08/1919,August,1919,JPG,,,,,n
SB_News_Times_August_31_1921,71,SB_News_Times_August_31_1921.jpg,South Bend News Times,"South Bend, Indiana, US",31/08/1921,August,1921,JPG,,,,,n
SB_News_Times_December_07_1918,72,SB_News_Times_December_07_1918.jpg,South Bend News Times,"South Bend, Indiana, US",07/12/1918,December,1918,JPG,,,,,n
SB_News_Times_December_07_1918,73,SB_News_Times_December_07_1918.jpg,South Bend News Times,"South Bend, Indiana, US",07/12/1918,December,1918,JPG,,,,,n
SB_News_Times_February_04_1918,74,SB_News_Times_February_04_1918.jpg,South Bend News Times,"South Bend, Indiana, US",04/02/1918,February,1918,JPG,,"Studebaker team, All-Star team of Mishawaka ",n,y,y
SB_News_Times_February_04_1918,75,SB_News_Times_February_04_1918.jpg,South Bend News Times,"South Bend, Indiana, US",04/02/1918,February,1918,JPG,,,,,n
SB_News_Times_February_04_1918,76,SB_News_Times_February_04_1918.jpg,South Bend News Times,"South Bend, Indiana, US",04/02/1918,February,1918,JPG,,,,,n
SB_News_Times_February_12_1919,77,SB_News_Times_February_12_1919.jpg,South Bend News Times,"South Bend, Indiana, US",12/02/1919,February,1919,JPG,,,,,n
SB_News_Times_February_12_1919,78,SB_News_Times_February_12_1919.jpg,South Bend News Times,"South Bend, Indiana, US",12/02/1919,February,1919,JPG,,,,,n
SB_News_Times_February_19_1917,79,SB_News_Times_February_19_1917.jpg,South Bend News Times,"South Bend, Indiana, US",19/02/1917,February,1917,JPG,,,,,n
SB_News_Times_February_19_1917,80,SB_News_Times_February_19_1917.jpg,South Bend News Times,"South Bend, Indiana, US",19/02/1917,February,1917,JPG,,,,,n
SB_News_Times_February_26_1922,81,SB_News_Times_February_26_1922.jpg,South Bend News Times,"South Bend, Indiana, US",26/02/1922,February,1922,JPG,,,,,n
SB_News_Times_February_26_1922,82,SB_News_Times_February_26_1922.jpg,South Bend News Times,"South Bend, Indiana, US",26/02/1922,February,1922,JPG,,,,,n
SB_News_Times_January_03_1914,83,SB_News_Times_January_03_1914.jpg,South Bend News Times,"South Bend, Indiana, US",03/01/1914,January,1914,JPG,,,,,n
SB_News_Times_January_03_1914,84,SB_News_Times_January_03_1914.jpg,South Bend News Times,"South Bend, Indiana, US",03/01/1914,January,1914,JPG,,,,,n
SB_News_Times_January_25_1922,85,SB_News_Times_January_25_1922.jpg,South Bend News Times,"South Bend, Indiana, US",25/01/1922,January,1922,JPG,,,,,n
SB_News_Times_January_25_1922,86,SB_News_Times_January_25_1922.jpg,South Bend News Times,"South Bend, Indiana, US",25/01/1922,January,1922,JPG,,,,,n
SB_News_Times_January_29_1922,87,SB_News_Times_January_29_1922.jpg,South Bend News Times,"South Bend, Indiana, US",29/01/1922,January,1922,JPG,,,,,n
SB_News_Times_January_29_1922,88,SB_News_Times_January_29_1922.jpg,South Bend News Times,"South Bend, Indiana, US",29/01/1922,January,1922,JPG,,,,,n
SB_News_Times_July_04_1913,89,SB_News_Times_July_04_1913.jpg,South Bend News Times,"South Bend, Indiana, US",04/07/1913,July,1913,JPG,"Springbrook Park, Singer Park, Mishawaka Park","Studebakers, Dodge Indestructos, Singers, South Bend Watch Company, Mish. Woolen Co., South Bend Plow Co.",n,n,y
SB_News_Times_July_05_1913,90,SB_News_Times_July_05_1913.jpg,South Bend News Times,"South Bend, Indiana, US",05/07/1913,July,1913,JPG,Includes league standings and upcoming games in the Manufacturer's League,"Singers, Studebakers, Ball Bands, Dodges, Watch Co., Plow Co.",n,n,y
SB_News_Times_July_08_1914,91,SB_News_Times_July_08_1914.jpg,South Bend News Times,"South Bend, Indiana, US",08/07/1914,July,1914,JPG,,,,,n
SB_News_Times_July_08_1914,92,SB_News_Times_July_08_1914.jpg,South Bend News Times,"South Bend, Indiana, US",08/07/1914,July,1914,JPG,,,,,n
SB_News_Times_July_09_1914,93,SB_News_Times_July_09_1914.jpg,South Bend News Times,"South Bend, Indiana, US",09/07/1914,July,1914,JPG,"""President Dailey of the Factory League""",Mishawaka Ball Bands and South Bend,n,n,y
SB_News_Times_July_09_1914,94,SB_News_Times_July_09_1914.jpg,South Bend News Times,"South Bend, Indiana, US",09/07/1914,July,1914,JPG,,,,,n
SB_News_Times_July_09_1914,95,SB_News_Times_July_09_1914.jpg,South Bend News Times,"South Bend, Indiana, US",09/07/1914,July,1914,JPG,,,,,n
SB_News_Times_July_10_1913,96,SB_News_Times_July_10_1913.jpg,South Bend News Times,"South Bend, Indiana, US",10/07/1913,July,1913,JPG,Standings of the Manufacturers' League,"Singers, Studebakers, Dodge, Ball Bands, Watch Co., Plow Co.",y,n,y
