pid,file_name,label,location,_date,month_str,year,type,notes,teams,game_info,player_info,inventoried
Alma_Record_September_16_1920,Alma_Record_September_16_1920.jpg,Alma Record,"Alma, Michigan, US",16/09/1920,September,1920,JPG,,,,,n
Battle_Creek_Enquirer_June_17_1928,Battle_Creek_Enquirer_June_17_1928.jpg,Battle Creek Enquirer,"Battle Creek, Michigan, US",17/06/1928,June,1928,JPG,,"Studebakers, and Fox Colored Giants",u,u,y
Battle_Creek_Enquirer_June_18_1928,Battle_Creek_Enquirer_June_18_1928.jpg,Battle Creek Enquirer,"Battle Creek, Michigan, US",18/06/1928,June,1928,JPG,,"Kelloggs, and Studebakers",n,y,y
Calumet_News_April_16_1913,Calumet_News_April_16_1913.jpg,Calumet News,"Calumet, Michigan, US",16/04/1913,April,1913,JPG,,"""St. Joseph Team"", ""Athletics"", ""South Bend Team"", ""White Sox"", ""Grand Rapids Franchise""",n,n,y
Daily_Monitor_April_01_1941,Daily_Monitor_April_01_1941.jpg,Daily Monitor,"Mount Clemens, Michigan, US",1/4/1941,April,1941,JPG,,,,,n
Daily_Monitor_February_04_1941,Daily_Monitor_February_04_1941.jpg,Daily Monitor,"Mount Clemens, Michigan, US",4/2/1941,February,1941,JPG,,,,,n
Daily_Monitor_February_12_1941,Daily_Monitor_February_12_1941.jpg,Daily Monitor,"Mount Clemens, Michigan, US",12/2/1941,February,1941,JPG,,,,,n
Daily_Monitor_February_18_1941,Daily_Monitor_February_18_1941.jpg,Daily Monitor,"Mount Clemens, Michigan, US",18/02/1941,February,1941,JPG,,,,,n
Daily_Monitor_January_21_1941,Daily_Monitor_January_21_1941.jpg,Daily Monitor,"Mount Clemens, Michigan, US",21/01/1941,January,1941,JPG,,,,,n
Daily_Monitor_March_04_1941,Daily_Monitor_March_04_1941.jpg,Daily Monitor,"Mount Clemens, Michigan, US",4/3/1941,March,1941,JPG,,,,,n
Detroit_Times_June_15_1915,Detroit_Times_June_15_1915.jpg,Detroit Times,"Detroit, Michigan, US",15/06/1915,June,1915,JPG,,"""Studebaker Team from Detroit"" and ""Studebaker Team from South Bend""",n,n,y
Herald_Press_October_22_1926,Herald_Press_October_22_1926.jpg,Herald Press,"St. Joseph, Michigan, US",22/10/1926,October,1926,JPG,,"Studebaker's Colored Giants, House of David's baseball team",n,y,y
Indianapolis_Times_April_20_1934,Indianapolis_Times_April_20_1934.jpg,Indianapolis Times,"Indianapolis, Indiana, US",20/04/1934,April,1934,JPG,,,,,n
Indianapolis_Times_February_20_1934,Indianapolis_Times_February_20_1934.jpg,Indianapolis Times,"Indianapolis, Indiana, US",20/02/1934,February,1934,JPG,,,,,n
Indianapolis_Times_January_19_1934,Indianapolis_Times_January_19_1934.jpg,Indianapolis Times,"Indianapolis, Indiana, US",19/01/1934,January,1934,JPG,,,,,n
Indianapolis_Times_March_09_1934,Indianapolis_Times_March_09_1934.jpg,Indianapolis Times,"Indianapolis, Indiana, US",9/3/1934,March,1934,JPG,,,,,n
Indianapolis_Times_May_11_1932,Indianapolis_Times_May_11_1932.jpg,Indianapolis Times,"Indianapolis, Indiana, US",11/5/1932,May,1932,JPG,,,,,n
Indianapolis_Times_November_08_1930,Indianapolis_Times_November_08_1930.jpg,Indianapolis Times,"Indianapolis, Indiana, US",8/11/1930,November,1930,JPG,,,,,n
Indianapolis_Times_September_12_1929,Indianapolis_Times_September_12_1929.jpg,Indianapolis Times,"Indianapolis, Indiana, US",12/9/1929,September,1929,JPG,,,,,n
Indianapolis_Times_September_27_1928,Indianapolis_Times_September_27_1928.jpg,Indianapolis Times,"Indianapolis, Indiana, US",27/09/1928,September,1928,JPG,,"Philedelphia A's, Studebaker team",y,n,y
Michigan_Chronicle_March_13_1943,Michigan_Chronicle_March_13_1943.jpg,Michigan Chronicle,"Detroit, Michigan, US",13/03/1943,March,1943,JPG,,,,,n
Richmond_Palladium_Sun_Telegram_February_06_1922,Richmond_Palladium_Sun_Telegram_February_06_1922.jpg,Richmond Palladium and Sun Telegram,"Richmond, Indiana, US",6/2/1922,February,1922,JPG,,,,,n
Richmond_Palladium_Sun_Telegram_February_08_1922,Richmond_Palladium_Sun_Telegram_February_08_1922.jpg,Richmond Palladium and Sun Telegram,"Richmond, Indiana, US",8/2/1922,February,1922,JPG,,,,,n
Richmond_Palladium_Sun_Telegram_February_09_1922,Richmond_Palladium_Sun_Telegram_February_09_1922.jpg,Richmond Palladium and Sun Telegram,"Richmond, Indiana, US",9/2/1922,February,1922,JPG,,,,,n
Richmond_Palladium_Sun_Telegram_January_31_1922,Richmond_Palladium_Sun_Telegram_January_31_1922.jpg,Richmond Palladium and Sun Telegram,"Richmond, Indiana, US",31/01/1922,January,1922,JPG,,,,,n
